spkid,pdes,full_name,neo,pha,class,moid,e,a,q,i,per,H,diameter,albedo,condition_code,data_arc,n_obs_used
20000433,433,   433 Eros (A898 PA),Y,N,AMO,.148798,.2228779627700761,1.458243716760167,1.133233327946397,10.82854410314273,643.1963890927677,10.40,16.84,0.25,0,46582,9130
20000719,719,   719 Albert (A911 TB),Y,N,AMO,.201591,.54659281141853,2.636949566436567,1.19561188934913,11.57235893021322,1564.051907966961,15.59,,,0,41869,2147
20000887,887,   887 Alinda (A918 AA),Y,N,AMO,.080116,.5710841391815443,2.473998953398223,1.061137390760757,9.399997659652634,1421.339070216299,13.82,4.2,0.31,0,39281,5843
20001036,1036,  1036 Ganymed (A924 UB),Y,N,AMO,.341955,.5335006672216854,2.664068815977234,1.242786325128894,26.68765340379128,1588.241666709427,9.17,37.675,0.238,0,37140,13637
20001221,1221,  1221 Amor (1932 EA1),Y,N,AMO,.10902,.4347308667088409,1.919716404373496,1.085156428065026,11.87012944935086,971.5251348152979,17.37,1.0,,0,34521,698
20001566,1566,  1566 Icarus (1949 MA),Y,Y,APO,.0338047,.8270188506942974,1.077994212576463,.1864726778363724,22.8016402405493,408.8114685792443,16.53,1.0,0.51,0,28192,1796
20001580,1580,  1580 Betulia (1950 KA),Y,N,AMO,.134079,.487636671923457,2.194758150792221,1.124513590463021,52.19064411003266,1187.622543274412,14.54,5.8,0.08,0,26722,2255
20001620,1620,  1620 Geographos (1951 RA),Y,Y,APO,.0295314,.335517777566295,1.245803622715614,.8278143599380324,13.33675506000249,507.8936827289096,15.27,2.56,0.290,0,27398,9749
20001627,1627,  1627 Ivar (1929 SH),Y,N,AMO,.11013,.3973348248655494,1.863110322449203,1.122831708773652,8.456346737455203,928.8728838517851,12.79,9.12,0.15,0,35420,14519
20001685,1685,  1685 Toro (1948 OA),Y,N,APO,.0509443,.4359922205676111,1.367859437151767,.7714833637236056,9.381775895521885,584.3332957850312,14.26,3.4,0.31,0,28547,5547
20001862,1862,  1862 Apollo (1932 HA),Y,Y,APO,.0263183,.5601800481295997,1.470715141636512,.6468498628096396,6.352178986018433,651.4652763535555,16.09,1.5,0.25,0,34822,3701
20001863,1863,  1863 Antinous (1948 EA),Y,N,APO,.18805,.6062316466560668,2.259383587112934,.8896737546697689,18.38388305949451,1240.461761476916,15.32,2.1,0.24,0,28683,1996
20001864,1864,  1864 Daedalus (1971 FA),Y,N,APO,.269358,.6144605486502296,1.4608806795516,.5632271356818037,22.21679138437392,644.9418293015603,14.83,3.7,0.273,0,20100,6597
20001865,1865,  1865 Cerberus (1971 UA),Y,N,APO,.156476,.4668681386877623,1.079953205238556,.5757574624389485,16.10126663958231,409.9263480320066,16.77,1.2,0.22,0,20034,2530
20001866,1866,  1866 Sisyphus (1972 XA),Y,N,APO,.103376,.5381206218639839,1.893368722611666,.8745079681820592,41.20629883894316,951.592969348315,12.47,8.48,0.15,0,26128,10700
20001915,1915,  1915 Quetzalcoatl (1953 EA),Y,N,AMO,.110002,.5702559710993432,2.545292592499507,1.093824293431736,20.3996833772342,1483.218033890223,18.38,0.5,0.21,0,24702,55
20001916,1916,  1916 Boreas (1953 RA),Y,N,AMO,.253215,.4490840861315141,2.273307845768517,1.252401469355961,12.87755556909336,1251.946594276505,14.93,3.5,,0,26515,4171
