neo,pha,moid,e,a,q,i,per,H,diameter,albedo,condition_code,data_arc,n_obs_used,class_AMO,class_APO,class_ATE,class_IEO
1,0,0.148798,0.2228779627700761,1.458243716760167,1.133233327946397,10.82854410314273,643.1963890927677,10.4,16.84,0.25,0,46582,9130,1,0,0,0
1,0,0.201591,0.54659281141853,2.636949566436567,1.19561188934913,11.57235893021322,1564.051907966961,15.59,1.165,0.209,0,41869,2147,1,0,0,0
1,0,0.080116,0.5710841391815443,2.473998953398223,1.061137390760757,9.399997659652634,1421.339070216299,13.82,4.2,0.31,0,39281,5843,1,0,0,0
1,0,0.341955,0.5335006672216854,2.664068815977234,1.242786325128894,26.68765340379128,1588.241666709427,9.17,37.675,0.238,0,37140,13637,1,0,0,0
1,0,0.10902,0.4347308667088409,1.919716404373496,1.085156428065026,11.87012944935086,971.525134815298,17.37,1.0,0.209,0,34521,698,1,0,0,0
1,1,0.0338047,0.8270188506942974,1.077994212576463,0.1864726778363724,22.8016402405493,408.8114685792443,16.53,1.0,0.51,0,28192,1796,0,1,0,0
1,0,0.134079,0.487636671923457,2.194758150792221,1.124513590463021,52.19064411003266,1187.622543274412,14.54,5.8,0.08,0,26722,2255,1,0,0,0
1,1,0.0295314,0.335517777566295,1.245803622715614,0.8278143599380324,13.33675506000249,507.8936827289096,15.27,2.56,0.29,0,27398,9749,0,1,0,0
1,0,0.11013,0.3973348248655494,1.863110322449203,1.122831708773652,8.456346737455203,928.8728838517852,12.79,9.12,0.15,0,35420,14519,1,0,0,0
1,0,0.0509443,0.4359922205676111,1.367859437151767,0.7714833637236056,9.381775895521884,584.3332957850312,14.26,3.4,0.31,0,28547,5547,0,1,0,0
1,1,0.0263183,0.5601800481295997,1.470715141636512,0.6468498628096396,6.352178986018433,651.4652763535555,16.09,1.5,0.25,0,34822,3701,0,1,0,0
1,0,0.18805,0.6062316466560668,2.259383587112934,0.889673754669769,18.38388305949451,1240.461761476916,15.32,2.1,0.24,0,28683,1996,0,1,0,0
1,0,0.269358,0.6144605486502296,1.4608806795516,0.5632271356818037,22.21679138437392,644.9418293015603,14.83,3.7,0.273,0,20100,6597,0,1,0,0
1,0,0.156476,0.4668681386877623,1.079953205238556,0.5757574624389485,16.10126663958231,409.9263480320066,16.77,1.2,0.22,0,20034,2530,0,1,0,0
1,0,0.103376,0.5381206218639839,1.893368722611666,0.8745079681820592,41.20629883894316,951.592969348315,12.47,8.48,0.15,0,26128,10700,0,1,0,0
1,0,0.110002,0.5702559710993432,2.545292592499507,1.093824293431736,20.3996833772342,1483.218033890223,18.38,0.5,0.21,0,24702,55,1,0,0,0
1,0,0.253215,0.4490840861315141,2.273307845768517,1.252401469355961,12.87755556909336,1251.946594276505,14.93,3.5,0.209,0,26515,4171,1,0,0,0
1,0,0.071792,0.5054274556087749,2.149231527449262,1.062950905016421,23.95606773979055,1150.86194819042,14.38,5.7,0.195,0,26337,4305,1,0,0,0
1,0,0.0625541,0.2561964014485422,1.431020514064791,1.064398207962348,8.708585797499484,625.2694588364014,15.66,2.3,0.17,0,19548,7492,1,0,0,0
1,0,0.244922,0.3646568494036361,1.709553121896733,1.08615286657772,26.86860047014339,816.4363406613376,13.8,4.3,0.25,0,27850,9906,1,0,0,0
1,1,0.00384584,0.6504314469810176,1.776231868547232,0.620914804114259,39.82205969987218,864.6650668867737,15.28,3.4,0.209,0,19295,2498,0,1,0,0
1,0,0.245255,0.5314016016636036,2.642125049017742,1.238095566174187,11.01873885953402,1568.658761683946,15.98,1.165,0.209,0,22830,1561,1,0,0,0
1,0,0.0548512,0.535915382136695,2.265042877034124,1.051171558032383,3.801523678001481,1245.125330080632,16.7,2.6,0.209,0,23892,2041,1,0,0,0
1,0,0.113307,0.1828582815030813,0.9669667478344453,0.7901488700548153,18.93555636228816,347.3087592635159,17.11,1.1,0.26,0,23339,1024,0,0,1,0
1,0,0.0669776,0.3492309859328742,1.07750077173387,0.7012041148778181,9.432222639330313,408.5308067903,17.21,1.024,0.203,0,17584,1561,0,1,0,0
1,0,0.149703,0.436499569805015,0.8320380956623273,0.4688538248443376,15.75910219462338,277.2127772732746,16.24,2.3,0.13,0,18599,4245,0,0,1,0
1,1,0.0114957,0.7641209908755124,1.873783680426323,0.4419862378525967,1.319989940107121,936.8662739043244,18.69,0.6,0.209,0,32656,155,0,1,0,0
1,1,0.0425508,0.2993525411875109,1.290074865084854,0.9038876758995676,64.00427834487186,535.2057832353406,15.99,1.649,0.245,0,18481,2349,0,1,0,0
1,1,0.00967484,0.5030586306182083,1.599739533568636,0.7949767544657869,23.07163208204,739.0474843492262,18.05,1.165,0.209,1,15749,61,0,1,0,0
1,1,0.00270585,0.7108613720406038,2.178570754316267,0.6299089588154722,2.521727702918088,1174.507868823981,15.32,1.8,0.4328,0,34619,1897,0,1,0,0
1,0,0.143086,0.5127886077176332,2.290566107544751,1.11598990237168,8.742829310334674,1266.230214751645,16.99,1.165,0.209,0,19571,1409,1,0,0,0
1,0,0.111867,0.8346014015275484,2.167363839741866,0.3584789414731759,11.20080397938433,1165.456750920303,13.45,5.7,0.163,0,17521,5464,0,1,0,0
1,0,0.0936745,0.6532406969716966,2.412437431614276,0.8365351223859566,24.49648504200215,1368.618841294837,14.57,1.165,0.209,0,18174,1999,0,1,0,0
1,1,0.00639696,0.4499561430699934,0.8437498723561032,0.4640994340749517,5.860185941757463,283.0864009980471,20.41,0.3,0.209,0,16477,572,0,0,1,0
1,0,0.232044,0.4134502338181753,2.105026849801995,1.234703006557823,5.223867907368374,1115.539329459112,15.18,2.3,0.27,0,17908,3129,1,0,0,0
1,0,0.154252,0.5647258381437779,2.530532335321208,1.101475341307007,14.42900309972171,1470.334892391608,17.48,0.9,0.21,1,16284,83,1,0,0,0
1,0,0.183852,0.4491524842840965,2.15144224140984,1.185116613886866,8.442490783035382,1152.638081205689,16.16,1.6,0.209,0,16182,2950,1,0,0,0
